commodity,snap.rank,snap.dollars.in.mil,snap.percent.total.exp,non.snap.rank,non.snap.dollars.in.mil,non.snap.percent.total.exp
Meat snacks,145,8.5,0.0013,170,29.3,0.0009
Single serve/vending ‐ salty snacks,146,8.4,0.0013,197,15.8,0.0005
Traditional Asian foods,147,8.3,0.0013,134,59.8,0.0019
Frozen juice and smoothies,148,7.7,0.0012,150,44.9,0.0014
Broccoli/cauliflower,149,7.4,0.0011,118,76.5,0.0024
Beef: rib,150,7.3,0.0011,151,43.3,0.0014
Refrigerated desserts,151,7,0.0011,143,49.5,0.0016
Croutons/bread stick&salad top,152,6.9,0.0011,171,29.1,0.0009
Dietary aid product/med liq nutr,153,6.8,0.001,132,62.9,0.002
Dressings/dips,154,6.6,0.001,139,51.7,0.0016
Party tray,155,6.6,0.001,154,42.6,0.0014
Corn,156,6.5,0.001,149,45.3,0.0014
Canned & dry milk,157,6.1,0.0009,163,33.1,0.001
Fitness & diet,158,5.8,0.0009,101,95.8,0.003
Juice,159,5.8,0.0009,148,46.2,0.0015
Single serve sweet goods,160,5.7,0.0009,196,16.2,0.0005
Refrigerated hispanic grocery,161,5.7,0.0009,177,26.5,0.0008
Enhancements (Pickles/Spreads),162,5.6,0.0008,174,27.3,0.0009
Convenience/snacking,163,5.5,0.0008,173,28.5,0.0009
Dried fruit,164,5.4,0.0008,137,52.6,0.0017
Seafood ‐ salmon‐farm raised,165,5,0.0008,144,48.8,0.0015
Frozen whipped topping,166,5,0.0008,167,30.9,0.001
Deli meat: presliced,167,4.9,0.0007,129,63.8,0.002
Herbs/garlic,168,4.8,0.0007,141,50,0.0016
Seafood ‐ party trays,169,4.8,0.0007,181,24.8,0.0008
Salad bar,170,4.5,0.0007,188,18.2,0.0006
Seafood ‐ salmon‐wild caught,171,4.5,0.0007,158,36.7,0.0012
Frozen fruits,172,4.3,0.0007,145,48.6,0.0015
Single serve/vending ‐ cookie/cracker,173,4.1,0.0006,211,9.1,0.0003
Chicken specialty/natural,174,3.8,0.0006,166,31.5,0.001
Cereals,175,3.8,0.0006,131,63,0.002
Pork offal,176,3.5,0.0005,232,4.2,0.0001
Pears,177,3.5,0.0005,162,33.6,0.0011
Frozen meatless,178,3.3,0.0005,169,30,0.001
Seafood ‐ tilapia,179,3.2,0.0005,194,16.4,0.0005
Non‐dairy/dairy aseptic,180,3.1,0.0005,168,30.5,0.001
Refrigerated italian,181,2.9,0.0004,159,36.6,0.0012
Rice cakes,182,2.8,0.0004,184,22.4,0.0007
Vinegar&cooking wines,183,2.8,0.0004,176,27.2,0.0009
Seafood ‐ salad/dip/sce/cond,184,2.8,0.0004,223,6.2,0.0002
Refrigerated vegetarian,185,2.8,0.0004,180,24.8,0.0008
Cake decor,186,2.7,0.0004,199,15.4,0.0005
Frozen pasta,187,2.6,0.0004,193,16.9,0.0005
Syrups toppings & cones,188,2.6,0.0004,202,14.1,0.0004
Snacks,189,2.6,0.0004,157,37.6,0.0012
Trail mix & snacks,190,2.5,0.0004,189,18.1,0.0006
Snack,191,2.5,0.0004,160,35.6,0.0011
Prepared/pdgd foods,192,2.3,0.0004,161,34.1,0.0011
Turkey fresh,193,2.3,0.0004,192,17,0.0005
Condiments,194,2.3,0.0003,175,27.2,0.0009
Seafood – fin fish other,195,2.2,0.0003,225,5.8,0.0002
Seafood ‐ lobster,196,2.2,0.0003,204,13,0.0004
Pre‐slice service case cheese,197,2.1,0.0003,172,28.6,0.0009
Spices/jarred garlic,198,2.1,0.0003,205,12.4,0.0004
Vegetables cooking packaged,199,2,0.0003,187,18.3,0.0006
Mixers,200,1.9,0.0003,195,16.4,0.0005
Poultry other,201,1.8,0.0003,219,6.7,0.0002
Pork bone in loin/rib,202,1.8,0.0003,214,7.6,0.0002
Turkey offal,203,1.6,0.0002,235,2,0.0001
Organics fruit & vegetables,204,1.6,0.0002,185,22.2,0.0007
Frozen ethnic,205,1.6,0.0002,218,6.7,0.0002
Lamb,206,1.6,0.0002,207,11.4,0.0004
Seasonal,207,1.5,0.0002,209,10.3,0.0003
Chicken offal,208,1.5,0.0002,230,4.3,0.0001
Turkey smoked,209,1.5,0.0002,234,2.5,0.0001
Seafood – cod,210,1.5,0.0002,206,12,0.0004
Frozen meat alternatives,211,1.5,0.0002,203,13.6,0.0004
Soup,212,1.4,0.0002,179,25.4,0.0008
Authentic central american fds,213,1.4,0.0002,227,5.5,0.0002
Cereal bars,214,1.4,0.0002,183,23.6,0.0007
Frozen entrees,215,1.4,0.0002,186,21.5,0.0007
Authentic asian foods,216,1.4,0.0002,208,11.3,0.0004
Bulk food,217,1.3,0.0002,190,18,0.0006
Baking,218,1.2,0.0002,201,14.6,0.0005
Random weight meat products,219,1.1,0.0002,233,4,0.0001
Processed (dry mixes / squeezed fruit),220,1,0.0002,222,6.2,0.0002
Mediterranean bar,221,1,0.0002,198,15.5,0.0005
Chicken grinds,222,0.9,0.0001,217,6.9,0.0002
Chilled ready meals,223,0.9,0.0001,231,4.2,0.0001
Dry tea/coffee/coco mixes,224,0.9,0.0001,210,9.2,0.0003
Crackers,225,0.8,0.0001,200,14.6,0.0005
Seafood ‐ trout,226,0.7,0.0001,224,6,0.0002
Beverages,227,0.7,0.0001,215,7.6,0.0002
Seafood ‐ scallops,228,0.6,0.0001,221,6.4,0.0002
Baby food,229,0.6,0.0001,226,5.5,0.0002
Deli specialties (retail pk),230,0.6,0.0001,228,5.3,0.0002
Buffalo,231,0.5,0.0001,213,8.3,0.0003
Seafood ‐ smoked seafood,232,0.5,0.0001,212,8.4,0.0003
Pork grinds,233,0.5,0.0001,229,4.3,0.0001
Authentic italian foods,234,0.5,0.0001,216,7.4,0.0002
Bakery party trays,235,0.4,0.0001,236,1.9,0.0001
Candy,236,0.4,0.0001,220,6.5,0.0002
Authentic caribbean foods,237,0.4,0.0001,238,1.1,0
Seafood ‐ shellfish other,238,0.4,0.0001,237,1.3,0
Totals,,6580.5,1,,31513.8,1
